# ell, dCl_tt, dCl_te, dCl_ee
2.700000000000000000e+01 -1.390785123733704864e+01 -1.947499163374335346e-02 -1.651662754714922261e-04
2.800000000000000000e+01 -1.321419084094456586e+01 -1.555000674203434879e-02 -1.938101550539633917e-04
2.900000000000000000e+01 -1.258274905731975579e+01 -1.472869759386666311e-02 -2.278729049408288179e-04
3.000000000000000000e+01 -1.200612363423848983e+01 -1.605489452540907053e-02 -2.620587147729732487e-04
3.100000000000000000e+01 -1.147676595688855983e+01 -1.813197228219384435e-02 -2.912101059671191655e-04
3.200000000000000000e+01 -1.098812512462186675e+01 -1.975471556122218239e-02 -3.117198876176883494e-04
3.300000000000000000e+01 -1.053764109345526201e+01 -2.048354886537498420e-02 -3.261820195300078754e-04
3.400000000000000000e+01 -1.012375153357071689e+01 -2.007030664900307307e-02 -3.387407491871348821e-04
3.500000000000000000e+01 -9.744511215775908397e+00 -1.841271484441544745e-02 -3.526796419345409536e-04
3.600000000000000000e+01 -9.396443313376856565e+00 -1.599206529574836305e-02 -3.678395345675249703e-04
3.700000000000000000e+01 -9.075688100304773798e+00 -1.343554132509574423e-02 -3.832005817438041066e-04
3.800000000000000000e+01 -8.778385850490494136e+00 -1.137032625455227340e-02 -3.977429381211225880e-04
3.900000000000000000e+01 -8.500997755481774831e+00 -1.026108337206185772e-02 -4.107911397908981812e-04
4.000000000000000000e+01 -8.241268677293689393e+00 -9.922395828971787568e-03 -4.230472485793206104e-04
4.100000000000000000e+01 -7.997264395557479588e+00 -1.000632674247846354e-02 -4.355577077462842580e-04
4.200000000000000000e+01 -7.767050689904638539e+00 -1.016493922977902697e-02 -4.493689605516755915e-04
4.300000000000000000e+01 -7.548961719527268244e+00 -1.011266864863273433e-02 -4.652081002653719009e-04
4.400000000000000000e+01 -7.342405161858752471e+00 -9.813439319043949435e-03 -4.825248201972289451e-04
4.500000000000000000e+01 -7.147057073893593682e+00 -9.293547801579270934e-03 -5.004494636670659292e-04
4.600000000000000000e+01 -6.962593512625783632e+00 -8.579290656805235032e-03 -5.181123739947833193e-04
4.700000000000000000e+01 -6.788690535049696884e+00 -7.696964445288194921e-03 -5.346438945001773897e-04
4.800000000000000000e+01 -6.624957348372666921e+00 -6.674213061770523613e-03 -5.493995395025581905e-04
4.900000000000000000e+01 -6.470735760656344482e+00 -5.544069737697663799e-03 -5.626355073190363043e-04
5.000000000000000000e+01 -6.325300730174898689e+00 -4.340915038691052844e-03 -5.748331672661515217e-04
5.100000000000000000e+01 -6.187927215203258058e+00 -3.099129530372249971e-03 -5.864738886604123000e-04
5.200000000000000000e+01 -6.057890174015652995e+00 -1.853093778362667173e-03 -5.980390408184204460e-04
5.300000000000000000e+01 -5.934473897416557620e+00 -6.316361587409170938e-04 -6.099568166699886190e-04
5.400000000000000000e+01 -5.817000006328993500e+00 5.586237105856782514e-04 -6.224427035981851004e-04
5.500000000000000000e+01 -5.704799454205465636e+00 1.716618401252552285e-03 -6.356590125993277296e-04
5.600000000000000000e+01 -5.597203194498539425e+00 2.841280484895247066e-03 -6.497680546698276962e-04
5.700000000000000000e+01 -5.493542180661162178e+00 3.931542533149251853e-03 -6.649321408060030565e-04
5.800000000000000000e+01 -5.393147366145647936e+00 4.986337117649994322e-03 -6.813135820042570852e-04
5.900000000000000000e+01 -5.295505799676826442e+00 6.004880711517719509e-03 -6.989207342724475421e-04
6.000000000000000000e+01 -5.200728911067756144e+00 6.987525393811879447e-03 -7.171461336647219718e-04
6.100000000000000000e+01 -5.109084225403443646e+00 7.934907145076433230e-03 -7.352283612467600329e-04
6.200000000000000000e+01 -5.020839267769083847e+00 8.847661945855466586e-03 -7.524059980842181822e-04
6.300000000000000000e+01 -4.936261563249745521e+00 9.726425776692877029e-03 -7.679176252428066528e-04
6.400000000000000000e+01 -4.855618636930371324e+00 1.057183461813317876e-02 -7.810018237881821181e-04
6.500000000000000000e+01 -4.779072407755689866e+00 1.138455508582781987e-02 -7.911411827825965467e-04
6.600000000000000000e+01 -4.706362370107860293e+00 1.216537633585817839e-02 -7.987943232746548983e-04
6.700000000000000000e+01 -4.637122412228197099e+00 1.291511815941392451e-02 -8.046638743095266364e-04
6.800000000000000000e+01 -4.570986422358139123e+00 1.363460034768423056e-02 -8.094524649323816580e-04
6.900000000000000000e+01 -4.507588288739507121e+00 1.432464269185839550e-02 -8.138627241883972328e-04
7.000000000000000000e+01 -4.446561899613676871e+00 1.498606498312534535e-02 -8.185972811227586535e-04
7.100000000000000000e+01 -4.387541143222024154e+00 1.561968701267487346e-02 -8.243587647806122900e-04
7.200000000000000000e+01 -4.330219182176480608e+00 1.622683294542184851e-02 -8.316726891296407102e-04
7.300000000000000000e+01 -4.274526276569291738e+00 1.681084444118368521e-02 -8.403561078275160155e-04
7.400000000000000000e+01 -4.220451960863259799e+00 1.737556753350509228e-02 -8.500489594543847059e-04
7.500000000000000000e+01 -4.167985769520488049e+00 1.792484825592855976e-02 -8.603911825904162662e-04
7.600000000000000000e+01 -4.117117237003776964e+00 1.846253264199855526e-02 -8.710227158156872655e-04
7.700000000000000000e+01 -4.067835897775864851e+00 1.899246672525880392e-02 -8.815834977104835234e-04
7.800000000000000000e+01 -4.020131286298982864e+00 1.951849653925303435e-02 -8.917134668548429028e-04
7.900000000000000000e+01 -3.973992937035803585e+00 2.004446811752397251e-02 -9.010525618289658969e-04
8.000000000000000000e+01 -3.929400311232392529e+00 2.057312197661449391e-02 -9.093189694781098759e-04
8.100000000000000000e+01 -3.886292577267675519e+00 2.110277656505806648e-02 -9.165438697077360822e-04
8.200000000000000000e+01 -3.844598830304666759e+00 2.163064481438607342e-02 -9.228366906885096532e-04
8.300000000000000000e+01 -3.804248165505872858e+00 2.215393965613063690e-02 -9.283068605910183143e-04
8.400000000000000000e+01 -3.765169678033895462e+00 2.266987402182387562e-02 -9.330638075858419846e-04
8.500000000000000000e+01 -3.727292463051368188e+00 2.317566084299642684e-02 -9.372169598435915912e-04
8.600000000000000000e+01 -3.690545615720955741e+00 2.366851305118140153e-02 -9.408757455349014802e-04
8.700000000000000000e+01 -3.654858231205260211e+00 2.414564357791042920e-02 -9.441495928303359582e-04
8.800000000000000000e+01 -3.620159404666978276e+00 2.460426535471438650e-02 -9.471479299004982545e-04
8.900000000000000000e+01 -3.586385548635646181e+00 2.504218945906814750e-02 -9.499582645181332960e-04
9.000000000000000000e+01 -3.553502345108062954e+00 2.545961955221706652e-02 -9.525804228643514624e-04
9.100000000000000000e+01 -3.521482793448057702e+00 2.585735744134751504e-02 -9.549923107224591494e-04
9.200000000000000000e+01 -3.490299893019553235e+00 2.623620493364784562e-02 -9.571718338757394424e-04
9.300000000000000000e+01 -3.459926643186315598e+00 2.659696383630393360e-02 -9.590968981074057126e-04
9.400000000000000000e+01 -3.430336043311982941e+00 2.694043595650437786e-02 -9.607454092008262635e-04
9.500000000000000000e+01 -3.401501092760701006e+00 2.726742310143604603e-02 -9.620952729391757602e-04
