# ell, dCl_tt, dCl_te, dCl_ee
3.300000000000000000e+01 -1.441456852582234660e+01 -3.265635217154522901e-02 -4.670268323350403516e-04
3.400000000000000000e+01 -1.362390066700935876e+01 -3.069415152489544246e-02 -4.832859784442694725e-04
3.500000000000000000e+01 -1.290119999899763670e+01 -2.877907882667830181e-02 -4.993687533198543386e-04
3.600000000000000000e+01 -1.223942589963744609e+01 -2.690725055627500584e-02 -5.152637662091959876e-04
3.700000000000000000e+01 -1.163237016535401125e+01 -2.507828305759948750e-02 -5.309635068299271669e-04
3.800000000000000000e+01 -1.107382459256811558e+01 -2.329179267456221031e-02 -5.464604648995857565e-04
3.900000000000000000e+01 -1.055804788459813182e+01 -2.154784316593097090e-02 -5.617447497979207805e-04
4.000000000000000000e+01 -1.008116637233147372e+01 -1.984828794986646938e-02 -5.767969495531328171e-04
4.100000000000000000e+01 -9.639773293549591671e+00 -1.819542785937806537e-02 -5.915952718555793789e-04
4.200000000000000000e+01 -9.230461886033936025e+00 -1.659156372747728689e-02 -6.061179243955773207e-04
4.300000000000000000e+01 -8.850023165891229837e+00 -1.503811916091744860e-02 -6.203475785664780808e-04
4.400000000000000000e+01 -8.496039262528398694e+00 -1.353300886141857798e-02 -6.342847605738527461e-04
4.500000000000000000e+01 -8.166290083679417222e+00 -1.207327030444205543e-02 -6.479344603261172515e-04
4.600000000000000000e+01 -7.858555537076927777e+00 -1.065594096544882768e-02 -6.613016677318908198e-04
4.700000000000000000e+01 -7.570615530454016806e+00 -9.278058319901142520e-03 -6.743913726996164908e-04
4.800000000000000000e+01 -7.300426316743546806e+00 -7.937007510089733736e-03 -6.872048015982084538e-04
4.900000000000000000e+01 -7.046649529675264034e+00 -6.631564345620905541e-03 -6.997281266377336582e-04
5.000000000000000000e+01 -6.808123148181133288e+00 -5.360852302930749214e-03 -7.119437564885946774e-04
5.100000000000000000e+01 -6.583685151191565055e+00 -4.123994858455572871e-03 -7.238340998213025051e-04
5.200000000000000000e+01 -6.372173517635415507e+00 -2.920115488630898367e-03 -7.353815653061783995e-04
5.300000000000000000e+01 -6.172504019018587584e+00 -1.748380807201755207e-03 -7.465721867939132707e-04
5.400000000000000000e+01 -5.983903597141626562e+00 -6.081299771481087427e-04 -7.574064988556195380e-04
5.500000000000000000e+01 -5.805676986381680393e+00 5.012547012412998590e-04 -7.678886612427250624e-04
5.600000000000000000e+01 -5.637128921113232494e+00 1.580390927677648334e-03 -7.780228337065763899e-04
5.700000000000000000e+01 -5.477564135712542637e+00 2.629896401871653633e-03 -7.878131759984658561e-04
5.800000000000000000e+01 -5.326287364555204462e+00 3.650388823535442168e-03 -7.972638478698484271e-04
5.900000000000000000e+01 -5.182647249937444300e+00 4.642395669458366028e-03 -8.063767309657917260e-04
6.000000000000000000e+01 -5.046168065836242889e+00 5.606083524747028368e-03 -8.151445945065187351e-04
6.100000000000000000e+01 -4.916417994150101833e+00 6.541528751586233800e-03 -8.235579296057566733e-04
6.200000000000000000e+01 -4.792965216776190474e+00 7.448807712161654299e-03 -8.316072273775851256e-04
6.300000000000000000e+01 -4.675377915613010416e+00 8.327996768657877635e-03 -8.392829789358126260e-04
6.400000000000000000e+01 -4.563224272557953043e+00 9.179172283260358944e-03 -8.465756753943561291e-04
6.500000000000000000e+01 -4.456105024622569744e+00 1.000253901250114028e-02 -8.534781149497987739e-04
6.600000000000000000e+01 -4.353751129273053522e+00 1.079881529029817766e-02 -8.599923241291715977e-04
6.700000000000000000e+01 -4.255926099088425119e+00 1.156884784491536353e-02 -8.661226365423615580e-04
6.800000000000000000e+01 -4.162393446648149364e+00 1.231348340461919239e-02 -8.718733857990116666e-04
6.900000000000000000e+01 -4.072916684533689491e+00 1.303356869767225562e-02 -8.772489055089004607e-04
7.000000000000000000e+01 -3.987259325322733972e+00 1.372995045234148143e-02 -8.822535292817522672e-04
7.100000000000000000e+01 -3.905184881595413771e+00 1.440347539689032855e-02 -8.868915907275082538e-04
7.200000000000000000e+01 -3.826470568790929505e+00 1.505486115623358434e-02 -8.911667313399047451e-04
7.300000000000000000e+01 -3.750948413785648583e+00 1.568430894188788116e-02 -8.950798241497560492e-04
7.400000000000000000e+01 -3.678464146314563976e+00 1.629189086201771053e-02 -8.986310500718884715e-04
7.500000000000000000e+01 -3.608863496113112745e+00 1.687767902478886500e-02 -9.018205900214535786e-04
7.600000000000000000e+01 -3.541992192917842175e+00 1.744174553836887187e-02 -9.046486249131963607e-04
7.700000000000000000e+01 -3.477695966462635013e+00 1.798416251092178897e-02 -9.071153356618347034e-04
