# ell, dCl_tt, dCl_te, dCl_ee
1.350000000000000000e+02 6.309556325864088535e+08 -6.973490078083545901e+06 1.826411183787703631e+05
1.360000000000000000e+02 6.272788234942705631e+08 -6.927954035739966668e+06 1.803650610248546873e+05
1.370000000000000000e+02 6.236327975872073174e+08 -6.880120192479891703e+06 1.780585264764350432e+05
1.380000000000000000e+02 6.200161478649471998e+08 -6.830031764748154208e+06 1.757234409556741884e+05
1.390000000000000000e+02 6.164276382530401945e+08 -6.777732737132772803e+06 1.733617619868750626e+05
1.400000000000000000e+02 6.128660326770433187e+08 -6.723267094222174026e+06 1.709754470943405177e+05
1.410000000000000000e+02 6.093300950625658035e+08 -6.666678820604031906e+06 1.685664538023643836e+05
1.420000000000000000e+02 6.058185893350979090e+08 -6.608011900866826996e+06 1.661367396352459618e+05
1.430000000000000000e+02 6.023302794202489853e+08 -6.547310319598350674e+06 1.636882621172881045e+05
1.440000000000000000e+02 5.988639292435760498e+08 -6.484618061387143098e+06 1.612229787727865041e+05
1.450000000000000000e+02 5.954183027306288481e+08 -6.419979110820819624e+06 1.587428471260439837e+05
1.460000000000000000e+02 5.919921638069869280e+08 -6.353437452487631701e+06 1.562498247013526561e+05
1.470000000000000000e+02 5.885842763982000351e+08 -6.285037070976063609e+06 1.537458690230207576e+05
1.480000000000000000e+02 5.851934044298326969e+08 -6.214821950873845257e+06 1.512329376153404010e+05
1.490000000000000000e+02 5.818183118274496794e+08 -6.142836076769229025e+06 1.487129880026143801e+05
1.500000000000000000e+02 5.784577625166079998e+08 -6.069123433250292204e+06 1.461879777091402502e+05
1.510000000000000000e+02 5.751105204228724241e+08 -5.993728004905288108e+06 1.436598642592190008e+05
1.520000000000000000e+02 5.717753494718147516e+08 -5.916693776321947575e+06 1.411306051771463244e+05
1.530000000000000000e+02 5.684511279989701509e+08 -5.838064935645484366e+06 1.386021421925479954e+05
1.540000000000000000e+02 5.651371919798364639e+08 -5.757886485247345641e+06 1.360763538563267794e+05
1.550000000000000000e+02 5.618329917999413013e+08 -5.676203631056059152e+06 1.335551029247101687e+05
1.560000000000000000e+02 5.585379778447308540e+08 -5.593061578999686986e+06 1.310402521539346926e+05
1.570000000000000000e+02 5.552516004997103214e+08 -5.508505535006813705e+06 1.285336643002223718e+05
1.580000000000000000e+02 5.519733101503702402e+08 -5.422580705005791038e+06 1.260372021198043221e+05
1.590000000000000000e+02 5.487025571822086573e+08 -5.335332294924798422e+06 1.235527283689080214e+05
1.600000000000000000e+02 5.454387919806865454e+08 -5.246805510692419484e+06 1.210821058037627517e+05
1.610000000000000000e+02 5.421814649313460588e+08 -5.157045558236832730e+06 1.186271971806014044e+05
1.620000000000000000e+02 5.389300264196336269e+08 -5.066097643486565910e+06 1.161898652556469460e+05
1.630000000000000000e+02 5.356839268310468793e+08 -4.974006972369681112e+06 1.137719727851304779e+05
1.640000000000000000e+02 5.324426165510764718e+08 -4.880818750814877450e+06 1.113753825252830866e+05
1.650000000000000000e+02 5.292055459652204514e+08 -4.786578184750219807e+06 1.090019572323295288e+05
1.660000000000000000e+02 5.259721654589692354e+08 -4.691330480104232207e+06 1.066535596625009057e+05
1.670000000000000000e+02 5.227419254177985787e+08 -4.595120842805211432e+06 1.043320525720246951e+05
1.680000000000000000e+02 5.195142762272212505e+08 -4.497994478781508282e+06 1.020392987171319983e+05
1.690000000000000000e+02 5.162886682726982236e+08 -4.399996593961707316e+06 9.977716085405027843e+04
1.700000000000000000e+02 5.130645519397347569e+08 -4.301172394273698330e+06 9.754750173900702794e+04
1.710000000000000000e+02 5.098414526154559851e+08 -4.201566514955926687e+06 9.535210947329632472e+04
1.720000000000000000e+02 5.066191956934288740e+08 -4.101221308486166876e+06 9.319247353846156329e+04
1.730000000000000000e+02 5.033976815689215660e+08 -4.000178556651708670e+06 9.107000876111093385e+04
1.740000000000000000e+02 5.001768106371281147e+08 -3.898480041240014136e+06 8.898612996784991992e+04
1.750000000000000000e+02 4.969564832932870984e+08 -3.796167544038777705e+06 8.694225198528579494e+04
1.760000000000000000e+02 4.937365999326148629e+08 -3.693282846835230943e+06 8.493978964002768043e+04
1.770000000000000000e+02 4.905170609503499269e+08 -3.589867731417095754e+06 8.298015775868104538e+04
