# ell, dCl_tt, dCl_te, dCl_ee
5.200000000000000000e+01 8.058451627760792463e-03 -7.224960146586579298e-05 2.900594825564616057e-06
5.300000000000000000e+01 8.017478073942818639e-03 -7.467050173707715291e-05 2.943356875360397279e-06
5.400000000000000000e+01 7.834240952494891247e-03 -7.885266942682126411e-05 2.968575259767847627e-06
5.500000000000000000e+01 7.552891022704066870e-03 -8.407201510630726827e-05 2.981467624531680502e-06
5.600000000000000000e+01 7.217579043848528983e-03 -8.960444934674377851e-05 2.987251615395704676e-06
5.700000000000000000e+01 6.872455775206454121e-03 -9.472588271934012628e-05 2.991144878103549773e-06
5.800000000000000000e+01 6.561671976063425220e-03 -9.871222579530310865e-05 2.998365058399928347e-06
5.900000000000000000e+01 6.319904507677462022e-03 -1.010384325239067904e-04 3.012961549444134482e-06
6.000000000000000000e+01 6.143934639240752546e-03 -1.019756303666733143e-04 3.034310734055595517e-06
6.100000000000000000e+01 6.021069741914963913e-03 -1.019939901631935000e-04 3.060620742471572078e-06
6.200000000000000000e+01 5.938617186876568241e-03 -1.015636827530480845e-04 3.090099704926434293e-06
6.300000000000000000e+01 5.883884345288711501e-03 -1.011548789758351244e-04 3.120955751656719845e-06
6.400000000000000000e+01 5.844178588320462879e-03 -1.012377496711324429e-04 3.151397012897882641e-06
6.500000000000000000e+01 5.809250118544717623e-03 -1.021691532847110727e-04 3.179923054320008859e-06
6.600000000000000000e+01 5.778620464142274031e-03 -1.038526986870281360e-04 3.206199183329905361e-06
6.700000000000000000e+01 5.754253984699235318e-03 -1.060786823547440886e-04 3.230182142768287919e-06
6.800000000000000000e+01 5.738115039801705564e-03 -1.086374007644846511e-04 3.251828675477137769e-06
6.900000000000000000e+01 5.732167989029868238e-03 -1.113191503929016057e-04 3.271095524296266897e-06
7.000000000000000000e+01 5.738377191969827422e-03 -1.139142277166438344e-04 3.287939432068922009e-06
7.100000000000000000e+01 5.758707008210647502e-03 -1.162129292123399715e-04 3.302317141633650047e-06
7.200000000000000000e+01 5.793913223834934456e-03 -1.180507984266677133e-04 3.314184181701459397e-06
7.300000000000000000e+01 5.839917330940913587e-03 -1.194443671863910510e-04 3.323491224453320979e-06
7.400000000000000000e+01 5.891432248130712424e-03 -1.204554143882883703e-04 3.330187727939233705e-06
7.500000000000000000e+01 5.943170894003499058e-03 -1.211457189291553771e-04 3.334223150208833961e-06
7.600000000000000000e+01 5.989846187161400153e-03 -1.215770597057762303e-04 3.335546949313024021e-06
7.700000000000000000e+01 6.026171046203584666e-03 -1.218112156149466494e-04 3.334108583299814389e-06
7.800000000000000000e+01 6.046858389733659848e-03 -1.219099655534334190e-04 3.329857510220106918e-06
7.900000000000000000e+01 6.046621136344873179e-03 -1.219350884180438188e-04 3.322743188123719257e-06
8.000000000000000000e+01 6.021838338613842538e-03 -1.219384776624902604e-04 3.312744016204835926e-06
8.100000000000000000e+01 5.975553584994427667e-03 -1.219324849682269785e-04 3.299954158238179842e-06
8.200000000000000000e+01 5.912476597909055442e-03 -1.219195765736769686e-04 3.284496719142118278e-06
8.300000000000000000e+01 5.837317099779415486e-03 -1.219022187171937832e-04 3.266494803835741020e-06
8.400000000000000000e+01 5.754784813036077466e-03 -1.218828776371946447e-04 3.246071517237415764e-06
8.500000000000000000e+01 5.669589460097768097e-03 -1.218640195720736006e-04 3.223349964267315654e-06
8.600000000000000000e+01 5.586440763389877162e-03 -1.218481107602246982e-04 3.198453249843447546e-06
8.700000000000000000e+01 5.510048445337793581e-03 -1.218376174400304655e-04 3.171504478884539125e-06
8.800000000000000000e+01 5.445122228365425684e-03 -1.218350058498907096e-04 3.142626756310041861e-06
8.900000000000000000e+01 5.395244554566118282e-03 -1.218394808379733572e-04 3.111920636718060441e-06
9.000000000000000000e+01 5.359488744722806786e-03 -1.218372016915589273e-04 3.079396473423479969e-06
9.100000000000000000e+01 5.335800839284902779e-03 -1.218110663076729243e-04 3.045042069420560854e-06
9.200000000000000000e+01 5.322126878704777284e-03 -1.217439725833350248e-04 3.008845227704287723e-06
9.300000000000000000e+01 5.316412903433320736e-03 -1.216188184156111738e-04 2.970793751269463087e-06
9.400000000000000000e+01 5.316604953922166032e-03 -1.214185017015441956e-04 2.930875443109264005e-06
9.500000000000000000e+01 5.320649070622944336e-03 -1.211259203381479936e-04 2.889078106219396772e-06
9.600000000000000000e+01 5.326491293985806223e-03 -1.207239722224711791e-04 2.845389543593760964e-06
9.700000000000000000e+01 5.332077664462383723e-03 -1.201955552515681367e-04 2.799797558226798683e-06
9.800000000000000000e+01 5.335354222504307131e-03 -1.195235673224701034e-04 2.752289953112951181e-06
9.900000000000000000e+01 5.334672054554031803e-03 -1.186958863764961956e-04 2.702872534245382999e-06
1.000000000000000000e+02 5.330002431020257163e-03 -1.177203105321630443e-04 2.651623119611788877e-06
1.010000000000000000e+02 5.321721668299547389e-03 -1.166096179522751601e-04 2.598637530197683059e-06
1.020000000000000000e+02 5.310206082792904951e-03 -1.153765867996428134e-04 2.544011586990024825e-06
1.030000000000000000e+02 5.295831990898373746e-03 -1.140339952370358065e-04 2.487841110973966312e-06
1.040000000000000000e+02 5.278975709015476525e-03 -1.125946214272759702e-04 2.430221923137371433e-06
1.050000000000000000e+02 5.260013553542257185e-03 -1.110712435331909220e-04 2.371249844463585180e-06
1.060000000000000000e+02 5.239321840878978336e-03 -1.094766397175678252e-04 2.311020695941193560e-06
1.070000000000000000e+02 5.217276887421462561e-03 -1.078235881431706953e-04 2.249630298555168294e-06
1.080000000000000000e+02 5.194255009570714066e-03 -1.061248669728444836e-04 2.187174473292469508e-06
1.090000000000000000e+02 5.170632523726256466e-03 -1.043932543693936870e-04 2.123749041137887657e-06
1.100000000000000000e+02 5.146717762713286064e-03 -1.026389544766503068e-04 2.059441971051700376e-06
1.110000000000000000e+02 5.122547125064880191e-03 -1.008618753626603775e-04 1.994309823883119372e-06
1.120000000000000000e+02 5.098089025743490765e-03 -9.905935107653793259e-05 1.928401308456661842e-06
1.130000000000000000e+02 5.073311879708608529e-03 -9.722871566737387172e-05 1.861765133594857000e-06
1.140000000000000000e+02 5.048184101923425260e-03 -9.536730318427644160e-05 1.794450008121138477e-06
1.150000000000000000e+02 5.022674107347432568e-03 -9.347244767635964880e-05 1.726504640858396746e-06
1.160000000000000000e+02 4.996750310941600048e-03 -9.154148319270860590e-05 1.657977740630606905e-06
1.170000000000000000e+02 4.970381127666160907e-03 -8.957174378240266566e-05 1.588918016259937331e-06
1.180000000000000000e+02 4.943534972485045913e-03 -8.756056349456739496e-05 1.519374176570182068e-06
1.190000000000000000e+02 4.916180260355526230e-03 -8.550527637829949379e-05 1.449394930385497056e-06
1.200000000000000000e+02 4.888285406242273354e-03 -8.340321648270139488e-05 1.379028986527508147e-06
1.210000000000000000e+02 4.859818825104038169e-03 -8.125171785686401127e-05 1.308325053820913592e-06
1.220000000000000000e+02 4.830748931901052146e-03 -7.904811454990715003e-05 1.237331841087881135e-06
1.230000000000000000e+02 4.801051851037740903e-03 -7.679063449737960601e-05 1.166102676394477126e-06
1.240000000000000000e+02 4.770734544667920574e-03 -7.448108118077167994e-05 1.094709364775131241e-06
1.250000000000000000e+02 4.739811684395522917e-03 -7.212215196804895579e-05 1.023228330507268195e-06
1.260000000000000000e+02 4.708297941817078495e-03 -6.971654422717118993e-05 9.517359978659630307e-07
1.270000000000000000e+02 4.676207988532818036e-03 -6.726695532607504524e-05 8.803087911300860307e-07
1.280000000000000000e+02 4.643556496140011092e-03 -6.477608263272607858e-05 8.090231345745317153e-07
1.290000000000000000e+02 4.610358136239630852e-03 -6.224662351507251313e-05 7.379554524779893127e-07
1.300000000000000000e+02 4.576627580430425724e-03 -5.968127534109145249e-05 6.671821691157150264e-07
1.310000000000000000e+02 4.542379500308188142e-03 -5.708273547872534648e-05 5.967797087656753537e-07
1.320000000000000000e+02 4.507628567476107406e-03 -5.445370129593396502e-05 5.268244957040297532e-07
1.330000000000000000e+02 4.472389453532196399e-03 -5.179687016067131822e-05 4.573929542072991544e-07
1.340000000000000000e+02 4.436676830075203526e-03 -4.911493944089138908e-05 3.885615085529080595e-07
1.350000000000000000e+02 4.400505368702400943e-03 -4.641060650454239400e-05 3.204065830175580809e-07
1.360000000000000000e+02 4.363889741014759238e-03 -4.368656871960146371e-05 2.530046018779508310e-07
1.370000000000000000e+02 4.326838954424871986e-03 -4.094529435922968774e-05 1.864297054740401338e-07
1.380000000000000000e+02 4.289339359591822984e-03 -3.818833531738762688e-05 1.207468983971625156e-07
1.390000000000000000e+02 4.251371642993717614e-03 -3.541701439328919643e-05 5.601890130190664819e-08
1.400000000000000000e+02 4.212916491104964564e-03 -3.263265438611939739e-05 -7.691565156415943546e-09
1.410000000000000000e+02 4.173954590401448769e-03 -2.983657809506902109e-05 -7.032178032321655808e-08
1.420000000000000000e+02 4.134466627357577181e-03 -2.703010831936354314e-05 -1.318090235444486016e-07
1.430000000000000000e+02 4.094433288448495745e-03 -2.421456785815327345e-05 -1.920905741653426702e-07
1.440000000000000000e+02 4.053835260150092865e-03 -2.139127951062321642e-05 -2.511037115302258765e-07
1.450000000000000000e+02 4.012653228937512750e-03 -1.856156607601619490e-05 -3.087857149854130023e-07
1.460000000000000000e+02 3.970867881285903948e-03 -1.572675035347095851e-05 -3.650738638757732085e-07
1.470000000000000000e+02 3.928459903670411535e-03 -1.288815514223033348e-05 -4.199054375470792286e-07
1.480000000000000000e+02 3.885409982567663342e-03 -1.004710324145040820e-05 -4.732177153442002765e-07
1.490000000000000000e+02 3.841698804449844573e-03 -7.204917450339317825e-06 -5.249479766123669316e-07
1.500000000000000000e+02 3.797307055795062780e-03 -4.362920568087846895e-06 -5.750335006975326631e-07
1.510000000000000000e+02 3.752215423076984187e-03 -1.522435393880999799e-06 -6.234115669440244250e-07
1.520000000000000000e+02 3.706404592772235326e-03 1.315215273073091266e-06 -6.700194546981570517e-07
1.530000000000000000e+02 3.659865219422335329e-03 4.148741963808794120e-06 -7.147980144676241432e-07
1.540000000000000000e+02 3.612627829835772346e-03 6.976988530226399171e-06 -7.577023814097905395e-07
1.550000000000000000e+02 3.564732918892588032e-03 9.798832154405089757e-06 -7.986912618459292984e-07
1.560000000000000000e+02 3.516220981466163572e-03 1.261315001846452510e-05 -8.377233620971332711e-07
1.570000000000000000e+02 3.467132512433579450e-03 1.541881930451858768e-05 -8.747573884832300535e-07
1.580000000000000000e+02 3.417508006671917450e-03 1.821471719465802408e-05 -9.097520473258542805e-07
1.590000000000000000e+02 3.367387959058998348e-03 2.099972087099092816e-05 -9.426660449450144954e-07
1.600000000000000000e+02 3.316812864470423776e-03 2.377270751562540052e-05 -9.734580876612610248e-07
1.610000000000000000e+02 3.265823217784014076e-03 2.653255431066375147e-05 -1.002086881796409451e-06
1.620000000000000000e+02 3.214459513873890728e-03 2.927813843821407824e-05 -1.028511133670016425e-06
1.630000000000000000e+02 3.162762247620835680e-03 3.200833708038447467e-05 -1.052689549603174481e-06
1.640000000000000000e+02 3.110771913897488524e-03 3.472202741927148107e-05 -1.074580835916885732e-06
1.650000000000000000e+02 3.058529007582411197e-03 3.741808663698317772e-05 -1.094143698931249142e-06
1.660000000000000000e+02 3.006074023551945189e-03 4.009539191562767879e-05 -1.111336844967718715e-06
1.670000000000000000e+02 2.953447456683170984e-03 4.275282043730149750e-05 -1.126118980346212363e-06
1.680000000000000000e+02 2.900689801852429639e-03 4.538924938412430832e-05 -1.138448811388093670e-06
1.690000000000000000e+02 2.847841553936802939e-03 4.800355593819842493e-05 -1.148285044413552020e-06
1.700000000000000000e+02 2.794943207811891647e-03 5.059461728162036731e-05 -1.155586385743770369e-06
1.710000000000000000e+02 2.742025014315826233e-03 5.316132942296640507e-05 -1.160316846139454284e-06
1.720000000000000000e+02 2.689076248136117002e-03 5.570266367666808904e-05 -1.162461654124189760e-06
1.730000000000000000e+02 2.636075939914661603e-03 5.821761018361358553e-05 -1.162011342661266669e-06
1.740000000000000000e+02 2.583003120299280468e-03 6.070515908471995481e-05 -1.158956444714064882e-06
1.750000000000000000e+02 2.529836819937791859e-03 6.316430052086380287e-05 -1.153287493246415951e-06
1.760000000000000000e+02 2.476556069472095160e-03 6.559402463295060937e-05 -1.144995021221880585e-06
1.770000000000000000e+02 2.423139899552229082e-03 6.799332156188012122e-05 -1.134069561603838656e-06
1.780000000000000000e+02 2.369567340821573161e-03 7.036118144853760448e-05 -1.120501647356122139e-06
1.790000000000000000e+02 2.315817423927206235e-03 7.269659443383431896e-05 -1.104281811442020270e-06
1.800000000000000000e+02 2.261869179514726987e-03 7.499855065865267112e-05 -1.085400586825274391e-06
1.810000000000000000e+02 2.207701638228994675e-03 7.726604026390393432e-05 -1.063848506469445426e-06
1.820000000000000000e+02 2.153293830717458498e-03 7.949805339048203467e-05 -1.039616103338184296e-06
1.830000000000000000e+02 2.098624787626827796e-03 8.169358017926937865e-05 -1.012693910394690030e-06
1.840000000000000000e+02 2.043673539600850738e-03 8.385161077118011275e-05 -9.830724606029752309e-07
1.850000000000000000e+02 1.988419117289197402e-03 8.597113530710241681e-05 -9.507422869261487192e-07
1.860000000000000000e+02 1.932840551331915790e-03 8.805114392793599032e-05 -9.156939223281325719e-07
1.870000000000000000e+02 1.876916872380526066e-03 9.009062677457480006e-05 -8.779178997723969743e-07
1.880000000000000000e+02 1.820627111078406465e-03 9.208857398792144578e-05 -8.374047522225027442e-07
1.890000000000000000e+02 1.763950298072636258e-03 9.404397570886985358e-05 -7.941450126420102756e-07
1.900000000000000000e+02 1.706865464008074703e-03 9.595582207831399024e-05 -7.481292139943900715e-07
1.910000000000000000e+02 1.649362761067715063e-03 9.782318740620260511e-05 -6.993540515546226716e-07
1.920000000000000000e+02 1.591476827580429187e-03 9.964548267870666776e-05 -6.478408698420133095e-07
1.930000000000000000e+02 1.533253423408043048e-03 1.014222030510288639e-04 -5.936171756875130989e-07
1.940000000000000000e+02 1.474738308418673590e-03 1.031528436783964094e-04 -5.367104759218472073e-07
1.950000000000000000e+02 1.415977242474886211e-03 1.048368997160047664e-04 -4.771482773756052770e-07
1.960000000000000000e+02 1.357015985440727544e-03 1.064738663190941748e-04 -4.149580868797383684e-07
1.970000000000000000e+02 1.297900297181723726e-03 1.080632386428571830e-04 -3.501674112650621229e-07
1.980000000000000000e+02 1.238675937562291104e-03 1.096045118425167106e-04 -2.828037573622113931e-07
1.990000000000000000e+02 1.179388666447215737e-03 1.110971810732898634e-04 -2.128946320019565039e-07
2.000000000000000000e+02 1.120084243700173897e-03 1.125407414903836637e-04 -1.404675420151130171e-07
2.010000000000000000e+02 1.060808429185581712e-03 1.139346882490181040e-04 -6.554999423231579864e-08
2.020000000000000000e+02 1.001606982768965537e-03 1.152785165044059937e-04 1.183050451557442895e-08
2.030000000000000000e+02 9.425256643136314949e-04 1.165717214117615653e-04 9.164644739765175920e-08
2.040000000000000000e+02 8.836102336858461239e-04 1.178137981263026427e-04 1.738703275835523933e-07
2.050000000000000000e+02 8.249064507485452929e-04 1.190042418032398670e-04 2.584746382420993810e-07
2.060000000000000000e+02 7.664600753668853166e-04 1.201425475977881753e-04 3.454318725426578562e-07
2.070000000000000000e+02 7.083168674052824337e-04 1.212282106651625321e-04 4.347145236546381504e-07
2.080000000000000000e+02 6.505225867281527741e-04 1.222607261605760992e-04 5.262950847471344132e-07
2.090000000000000000e+02 5.931229931995426466e-04 1.232395892392456162e-04 6.201460489892406357e-07
2.100000000000000000e+02 5.361638466860885188e-04 1.241642950563851531e-04 7.162399095505478583e-07
2.110000000000000000e+02 4.796909070496161993e-04 1.250343387672074786e-04 8.145491596000598630e-07
2.120000000000000000e+02 4.237499341563921718e-04 1.258492155269287226e-04 9.150462923069611673e-07
2.130000000000000000e+02 3.683790400103396641e-04 1.266085333079963477e-04 1.017697828514214614e-06
