# ell, fid_Cl_tt, fid_Cl_te, fid_Cl_ee
7.600000000000000000e+01 2.161682831022631923e+00 -9.156836937790053740e-03 4.399593242171868641e-04
7.700000000000000000e+01 2.133240522300535957e+00 -9.463104661549655294e-03 4.436970998180693416e-04
7.800000000000000000e+01 2.105782570727664282e+00 -9.761486664411206382e-03 4.472676431253415005e-04
7.900000000000000000e+01 2.079252432034487619e+00 -1.005181103392508053e-02 4.506681509152667088e-04
8.000000000000000000e+01 2.053597614756374590e+00 -1.033394691404222222e-02 4.538962194422168587e-04
8.100000000000000000e+01 2.028781838648289870e+00 -1.060792767431585279e-02 4.569510428729959346e-04
8.200000000000000000e+01 2.004772876270092929e+00 -1.087382774069975584e-02 4.598322148525165538e-04
8.300000000000000000e+01 1.981538500181646345e+00 -1.113172153914771499e-02 4.625393290256910083e-04
8.400000000000000000e+01 1.959046482942812029e+00 -1.138168349561352426e-02 4.650719790374316983e-04
8.500000000000000000e+01 1.937264597113450115e+00 -1.162378803605096378e-02 4.674297585326510785e-04
8.600000000000000000e+01 1.916160615253423849e+00 -1.185810958641382237e-02 4.696122611562616035e-04
8.700000000000000000e+01 1.895702309922593365e+00 -1.208472257265588885e-02 4.716190805531755652e-04
8.800000000000000000e+01 1.875857453680820797e+00 -1.230370142073094857e-02 4.734498103683054183e-04
8.900000000000000000e+01 1.856595800424287512e+00 -1.251511052808855495e-02 4.751041775440417616e-04
9.000000000000000000e+01 1.837895029394454038e+00 -1.271897417816131651e-02 4.765824422126873380e-04
9.100000000000000000e+01 1.819734801169099470e+00 -1.291530662587761676e-02 4.778849978040231971e-04
9.200000000000000000e+01 1.802094776326006009e+00 -1.310412212616583402e-02 4.790122377478306056e-04
9.300000000000000000e+01 1.784954615442952086e+00 -1.328543493395434316e-02 4.799645554738903421e-04
9.400000000000000000e+01 1.768293979097718793e+00 -1.345925930417152597e-02 4.807423444119834021e-04
9.500000000000000000e+01 1.752092527868086558e+00 -1.362560949174576423e-02 4.813459979918910522e-04
9.600000000000000000e+01 1.736329922331835141e+00 -1.378449975160542934e-02 4.817759096433939085e-04
9.700000000000000000e+01 1.720985823066744747e+00 -1.393594433867890309e-02 4.820324727962734001e-04
9.800000000000000000e+01 1.706039890650596025e+00 -1.407995750789456553e-02 4.821160808803104142e-04
9.900000000000000000e+01 1.691472983219538317e+00 -1.421655958249668644e-02 4.820273513538355639e-04
1.000000000000000000e+02 1.677270749143198847e+00 -1.434579515899312048e-02 4.817677977893784205e-04
1.010000000000000000e+02 1.663420034349573751e+00 -1.446771490220760507e-02 4.813391577880182272e-04
1.020000000000000000e+02 1.649907684766660276e+00 -1.458236947696388112e-02 4.807431689508341187e-04
1.030000000000000000e+02 1.636720546322454117e+00 -1.468980954808569647e-02 4.799815688789053924e-04
1.040000000000000000e+02 1.623845464944952299e+00 -1.479008578039678681e-02 4.790560951733112915e-04
1.050000000000000000e+02 1.611269286562150960e+00 -1.488324883872090866e-02 4.779684854351307337e-04
1.060000000000000000e+02 1.598978857102046902e+00 -1.496934938788178730e-02 4.767204772654432335e-04
1.070000000000000000e+02 1.586961022492636042e+00 -1.504843809270317405e-02 4.753138082653278712e-04
1.080000000000000000e+02 1.575202628661915405e+00 -1.512056561800880980e-02 4.737502160358637274e-04
1.090000000000000000e+02 1.563690521537881351e+00 -1.518578262862244239e-02 4.720314381781302621e-04
1.100000000000000000e+02 1.552412427882288837e+00 -1.524414252543252260e-02 4.701593950020050046e-04
1.110000000000000000e+02 1.541359597791925440e+00 -1.529570965358634932e-02 4.681367376525594963e-04
1.120000000000000000e+02 1.530524162197338223e+00 -1.534055109429595561e-02 4.659662999836637815e-04
